Frame,Predicted_X,Predicted_Y,Actual_X,Actual_Y
114,701.2167468175151,586.6103525247573,701.5,586.5
115,701.0462960261654,588.5701316200746,702.0,588.5
116,699.1171414247576,590.574381950093,,
117,700.1925940308147,594.8634710503928,701.0,595.5
118,700.2836481139425,598.7271669574764,701.0,599.5
119,699.3895326823728,601.7301599835703,699.5,602.0
120,698.4513005507058,604.0871439559461,698.5,604.0
121,697.162434462847,606.1824844354329,697.0,606.0
122,696.0571384775759,608.8344232102954,696.0,609.0
123,695.0779118968624,611.1761290588486,,
124,694.1343505245395,613.4695766995684,,
125,693.2264543606075,615.7147661324549,,
126,693.389198301008,618.8947562881466,693.5,619.0
127,692.9104822418747,621.0611139154012,693.0,621.0
128,692.3112177301329,623.2976269614162,,
129,699.4370252069573,628.6513239901507,701.5,629.5
